@RELATION EMG
@ATTRIBUTE Sinal1 REAL
@ATTRIBUTE Sinal2 REAL
@ATTRIBUTE Sinal3 REAL
@ATTRIBUTE Sinal4 REAL
@ATTRIBUTE Sinal5 REAL
@ATTRIBUTE Sinal6 REAL
@ATTRIBUTE Sinal7 REAL
@ATTRIBUTE Sinal8 REAL
@ATTRIBUTE Sinal9 REAL
@ATTRIBUTE Sinal10 REAL
@ATTRIBUTE Sinal11 REAL
@ATTRIBUTE Sinal12 REAL
@ATTRIBUTE Sinal13 REAL
@ATTRIBUTE Sinal14 REAL
@ATTRIBUTE Sinal15 REAL
@ATTRIBUTE Sinal16 REAL
@ATTRIBUTE Sinal17 REAL
@ATTRIBUTE Sinal18 REAL
@ATTRIBUTE Sinal19 REAL
@ATTRIBUTE Sinal20 REAL
@ATTRIBUTE Sinal21 REAL
@ATTRIBUTE Sinal22 REAL
@ATTRIBUTE Sinal23 REAL
@ATTRIBUTE Sinal24 REAL
@ATTRIBUTE Sinal25 REAL
@ATTRIBUTE Sinal26 REAL
@ATTRIBUTE Sinal27 REAL
@ATTRIBUTE Sinal28 REAL
@ATTRIBUTE Sinal29 REAL
@ATTRIBUTE Sinal30 REAL
@ATTRIBUTE Sinal31 REAL
@ATTRIBUTE Sinal32 REAL
@ATTRIBUTE Sinal33 REAL
@ATTRIBUTE Sinal34 REAL
@ATTRIBUTE Sinal35 REAL
@ATTRIBUTE Sinal36 REAL
@ATTRIBUTE Sinal37 REAL
@ATTRIBUTE Sinal38 REAL
@ATTRIBUTE Sinal39 REAL
@ATTRIBUTE Sinal40 REAL
@ATTRIBUTE Sinal41 REAL
@ATTRIBUTE Sinal42 REAL
@ATTRIBUTE Sinal43 REAL
@ATTRIBUTE Sinal44 REAL
@ATTRIBUTE Sinal45 REAL
@ATTRIBUTE Sinal46 REAL
@ATTRIBUTE Sinal47 REAL
@ATTRIBUTE Sinal48 REAL
@ATTRIBUTE Sinal49 REAL
@ATTRIBUTE Sinal50 REAL
@ATTRIBUTE Sinal51 REAL
@ATTRIBUTE Sinal52 REAL
@ATTRIBUTE Sinal53 REAL
@ATTRIBUTE Sinal54 REAL
@ATTRIBUTE Sinal55 REAL
@ATTRIBUTE Sinal56 REAL
@ATTRIBUTE Sinal57 REAL
@ATTRIBUTE Sinal58 REAL
@ATTRIBUTE Sinal59 REAL
@ATTRIBUTE Sinal60 REAL
@ATTRIBUTE Sinal61 REAL
@ATTRIBUTE Sinal62 REAL
@ATTRIBUTE Sinal63 REAL
@ATTRIBUTE Sinal64 REAL
@ATTRIBUTE Sinal65 REAL
@ATTRIBUTE Sinal66 REAL
@ATTRIBUTE Sinal67 REAL
@ATTRIBUTE Sinal68 REAL
@ATTRIBUTE Sinal69 REAL
@ATTRIBUTE Sinal70 REAL
@ATTRIBUTE Sinal71 REAL
@ATTRIBUTE Sinal72 REAL
@ATTRIBUTE Sinal73 REAL
@ATTRIBUTE Sinal74 REAL
@ATTRIBUTE Sinal75 REAL

@ATTRIBUTE class {A,E,I,O,U}
@DATA
507,509,507,513,508,513,510,516,512,514,510,513,510,513,510,511,509,505,504,508,508,509,508,508,510,512,515,515,514,515,512,514,506,510,505,508,507,508,512,512,514,513,512,507,515,514,512,509,507,512,508,510,514,518,518,508,506,502,508,504,508,507,508,517,514,519,515,513,518,518,509,504,505,513,510,O
512,504,512,509,512,514,512,515,508,513,512,517,518,512,516,504,514,505,505,504,508,513,505,506,507,508,510,513,516,510,516,508,512,510,510,510,512,514,508,504,508,506,510,506,515,510,509,508,513,515,514,516,514,513,509,501,504,499,508,504,515,512,515,518,515,513,512,515,512,510,512,505,508,509,515,O
510,512,515,513,514,507,506,509,508,508,504,511,508,513,512,512,510,505,510,510,512,512,509,515,505,508,500,509,505,513,518,515,514,511,513,517,514,510,508,508,506,512,505,506,511,514,512,510,510,508,505,515,512,513,515,511,505,504,501,504,512,513,512,512,510,514,506,514,507,512,512,513,516,509,509,O
505,510,512,510,517,512,518,509,512,510,510,512,510,515,508,508,508,502,512,506,516,513,514,512,510,510,508,514,513,512,510,508,515,510,517,510,510,504,507,512,506,511,510,513,512,508,508,502,511,509,511,510,514,516,512,512,510,507,510,510,518,514,512,506,504,503,508,513,509,508,508,508,512,510,513,O
508,518,512,508,508,506,507,512,517,517,513,513,507,510,508,510,505,507,506,513,511,510,509,508,510,510,510,514,504,512,505,511,508,508,508,508,513,510,515,517,515,514,502,508,509,509,506,505,512,512,516,515,511,512,506,512,504,513,505,508,507,508,513,514,513,516,515,515,510,514,504,510,503,508,509,O
509,518,516,513,512,506,508,504,512,511,515,510,512,516,512,511,507,504,497,504,511,507,521,512,516,513,511,515,512,512,508,508,508,502,512,506,512,507,512,510,511,512,510,512,512,512,517,505,515,510,512,508,512,510,508,510,511,511,510,508,512,506,511,508,515,512,516,509,509,510,505,507,506,513,513,O
509,514,505,506,505,514,509,508,512,510,511,511,515,516,512,516,507,512,505,510,504,508,512,516,513,510,509,511,508,509,505,515,506,512,513,513,512,515,512,508,511,513,511,512,505,507,502,508,508,504,514,518,516,509,509,510,506,513,510,515,508,512,508,509,513,509,510,507,508,514,510,516,508,514,505,O
510,507,505,507,509,518,518,512,516,512,513,509,510,505,508,509,512,512,509,511,508,511,506,510,512,504,511,510,510,512,510,515,510,512,508,512,514,510,510,504,511,506,506,505,509,512,508,509,509,511,518,515,518,511,515,512,513,511,510,508,504,506,508,512,515,510,515,508,512,505,511,510,507,508,506,O
512,512,516,512,505,510,504,512,508,512,511,509,512,508,511,508,511,514,510,514,508,514,512,512,510,507,505,504,508,512,510,510,508,510,504,512,513,518,513,512,512,510,508,511,511,510,504,513,508,512,505,504,502,505,510,510,510,507,510,515,512,516,512,512,510,508,512,511,518,512,512,509,512,512,508,O
512,507,512,511,510,512,510,514,510,509,510,502,508,508,512,510,518,515,513,512,510,515,512,513,514,511,515,510,512,508,514,507,502,502,501,512,509,508,512,509,512,509,515,512,515,512,508,512,510,512,506,505,512,513,520,514,516,508,507,504,510,512,505,512,510,508,510,511,521,510,518,512,508,504,504,O
508,506,510,512,512,510,507,510,505,513,513,520,517,515,516,511,513,511,511,512,504,506,500,504,504,505,513,513,518,518,510,510,508,515,513,517,512,508,502,506,502,506,511,513,514,510,512,510,506,515,510,513,506,512,512,510,510,510,513,510,513,512,508,510,505,508,504,512,513,517,513,510,510,506,508,O
508,510,518,510,510,506,508,510,509,512,506,508,512,509,511,515,517,511,512,508,512,510,512,508,507,508,508,510,518,510,510,505,508,508,506,516,514,511,512,510,514,512,516,508,512,508,510,507,507,513,506,507,510,507,508,510,519,512,513,515,513,506,508,513,514,508,504,504,512,509,517,514,513,512,513,O
508,505,507,504,507,512,512,512,512,520,513,513,511,510,506,505,511,506,510,510,510,514,507,512,502,511,510,517,513,511,515,510,508,506,506,508,504,511,512,518,514,509,507,508,514,514,515,510,506,504,499,503,500,507,509,519,517,516,516,511,512,513,512,512,509,512,505,510,512,515,510,511,508,508,509,O
507,508,512,508,513,509,513,513,512,508,507,512,508,512,512,512,508,506,511,508,514,512,510,512,513,516,512,512,513,508,508,503,510,506,508,512,512,512,512,512,514,511,510,509,508,505,508,506,509,511,515,513,512,514,512,512,514,512,513,508,508,505,507,507,508,513,512,514,518,511,508,506,515,512,512,O
510,507,509,512,512,508,512,513,512,510,505,512,512,513,512,513,512,506,504,504,505,510,514,515,509,512,507,513,510,513,513,512,510,508,508,510,508,512,508,514,515,515,508,508,508,509,511,507,506,508,504,511,512,518,513,515,512,512,510,504,504,504,507,512,511,510,514,512,508,512,510,513,512,513,508,O
510,507,506,505,512,513,516,516,515,505,508,510,511,510,512,508,505,507,510,507,510,509,511,506,512,513,514,515,514,511,512,512,510,508,508,505,507,509,515,510,510,508,511,512,509,507,509,512,510,507,505,502,508,510,512,515,519,515,516,513,510,510,512,512,512,508,510,505,506,504,505,510,512,514,512,O
513,515,514,514,508,508,508,506,505,506,508,512,510,514,515,513,508,507,508,514,510,508,508,510,509,513,515,513,508,511,509,508,510,516,510,513,508,508,505,510,508,510,506,504,504,512,516,518,516,512,510,511,510,512,510,510,508,508,505,507,507,508,507,508,506,508,512,516,512,511,512,512,512,514,512,O
512,512,512,512,512,512,512,508,508,504,512,512,514,509,514,516,514,512,512,505,505,506,508,507,512,509,509,506,506,507,510,516,517,514,511,510,513,513,513,513,512,507,508,508,508,513,514,515,513,505,508,507,512,515,513,510,512,508,511,508,509,510,512,510,513,510,510,512,510,506,510,512,512,515,515,O
511,508,502,503,505,514,514,515,512,512,512,512,510,506,506,510,510,512,510,515,511,507,508,512,510,510,509,512,509,511,513,510,505,504,501,505,508,517,515,518,515,512,510,508,506,509,508,515,508,512,510,508,508,505,508,512,514,520,511,511,510,512,512,511,511,511,508,510,508,512,508,508,506,512,512,O
510,507,512,514,516,515,513,508,507,504,508,507,508,506,510,507,507,505,512,513,514,514,513,515,512,508,511,505,509,508,510,508,512,514,512,508,513,513,512,510,509,505,508,510,513,513,510,508,510,508,509,505,508,508,512,510,512,514,514,514,512,507,508,505,512,511,511,510,513,513,512,513,516,512,514,O
508,507,508,505,502,510,510,514,510,510,513,513,512,513,512,514,510,508,508,512,513,513,506,509,505,507,505,510,510,512,511,514,514,515,518,518,514,509,505,512,510,508,504,508,506,510,508,510,510,513,511,513,515,512,504,510,513,512,514,512,505,509,510,511,510,514,513,510,508,512,511,513,512,512,508,O
509,512,509,507,510,508,512,512,511,508,510,510,513,512,512,512,511,510,513,510,510,508,510,508,505,506,511,512,514,508,510,510,511,511,513,514,515,509,505,507,511,508,512,512,512,511,512,508,505,506,506,506,508,509,510,512,512,502,510,515,515,512,512,508,514,514,513,512,512,512,510,511,510,505,507,O
509,512,510,515,512,512,512,512,508,512,512,511,505,508,507,505,505,512,515,514,513,514,512,510,506,507,506,508,510,514,518,515,510,510,512,513,510,512,507,506,508,512,510,513,512,514,508,509,506,508,513,515,512,508,506,508,510,510,512,512,514,510,508,512,506,508,507,512,512,516,512,510,512,509,511,O
510,508,508,508,513,510,511,511,516,515,514,506,504,502,510,511,512,511,512,512,509,510,512,509,512,507,508,506,508,513,515,514,511,511,511,510,512,510,511,510,509,511,513,515,515,508,509,508,508,507,506,509,511,513,512,509,510,508,513,512,512,507,506,509,514,513,512,510,512,512,514,510,507,508,508,O
508,508,506,512,507,511,510,514,514,515,512,513,509,507,505,512,512,514,510,510,508,506,504,508,510,515,513,517,513,512,513,510,507,508,508,512,510,512,512,512,509,512,511,510,510,513,512,510,508,511,511,514,511,507,512,515,512,510,508,510,506,508,505,508,509,508,510,509,508,508,507,510,510,514,513,O
515,512,511,507,508,508,512,510,513,512,513,512,512,510,510,506,509,510,509,510,512,510,513,513,511,508,509,512,510,511,512,510,511,510,512,514,513,512,508,504,508,510,513,512,513,512,512,507,510,508,511,510,510,506,506,506,508,510,514,512,515,510,511,511,513,514,513,513,512,508,512,515,513,512,513,O
506,508,505,507,505,506,507,512,510,512,510,512,508,510,509,510,509,510,510,512,510,508,509,510,509,512,508,512,514,514,515,512,514,512,508,508,506,507,508,511,513,512,512,512,510,508,507,510,507,509,510,513,512,510,506,508,510,513,516,516,514,512,513,516,508,506,506,510,504,505,510,512,508,512,514,O
515,510,513,506,505,504,506,510,515,515,513,502,508,514,515,515,515,512,510,509,507,504,505,508,510,508,512,510,511,507,507,505,511,515,518,516,515,513,515,510,508,508,508,510,513,512,510,507,512,513,513,512,514,513,512,510,512,507,511,508,509,505,508,512,513,513,512,508,514,513,513,512,512,508,505,O
507,513,512,510,504,508,513,517,515,518,511,512,506,504,505,512,510,508,512,513,510,510,512,512,510,512,510,508,510,512,510,509,503,509,508,512,508,512,510,512,512,512,510,507,508,514,512,512,512,513,512,510,506,507,507,510,510,511,506,505,508,510,514,512,513,510,506,508,509,513,510,510,509,510,514,O
514,512,512,512,513,512,515,512,511,510,512,510,512,508,510,512,512,510,511,511,511,506,504,507,512,511,510,508,510,507,507,510,516,516,512,511,512,508,505,506,507,510,513,512,513,511,514,513,515,512,512,511,510,509,509,511,512,505,510,508,511,512,515,515,516,513,514,508,507,505,510,510,512,512,512,O
508,508,506,505,508,509,512,515,512,510,514,515,513,514,512,508,504,505,505,510,512,512,510,511,508,514,512,516,513,513,510,508,508,510,504,511,512,510,506,513,510,512,508,512,509,508,510,510,510,514,508,508,508,515,515,515,514,513,508,507,507,512,508,512,510,507,514,514,513,511,511,511,510,509,510,O
