@RELATION EMG
@ATTRIBUTE Sinal1 REAL
@ATTRIBUTE Sinal2 REAL
@ATTRIBUTE Sinal3 REAL
@ATTRIBUTE Sinal4 REAL
@ATTRIBUTE Sinal5 REAL
@ATTRIBUTE Sinal6 REAL
@ATTRIBUTE Sinal7 REAL
@ATTRIBUTE Sinal8 REAL
@ATTRIBUTE Sinal9 REAL
@ATTRIBUTE Sinal10 REAL
@ATTRIBUTE Sinal11 REAL
@ATTRIBUTE Sinal12 REAL
@ATTRIBUTE Sinal13 REAL
@ATTRIBUTE Sinal14 REAL
@ATTRIBUTE Sinal15 REAL
@ATTRIBUTE Sinal16 REAL
@ATTRIBUTE Sinal17 REAL
@ATTRIBUTE Sinal18 REAL
@ATTRIBUTE Sinal19 REAL
@ATTRIBUTE Sinal20 REAL
@ATTRIBUTE Sinal21 REAL
@ATTRIBUTE Sinal22 REAL
@ATTRIBUTE Sinal23 REAL
@ATTRIBUTE Sinal24 REAL
@ATTRIBUTE Sinal25 REAL
@ATTRIBUTE Sinal26 REAL
@ATTRIBUTE Sinal27 REAL
@ATTRIBUTE Sinal28 REAL
@ATTRIBUTE Sinal29 REAL
@ATTRIBUTE Sinal30 REAL
@ATTRIBUTE Sinal31 REAL
@ATTRIBUTE Sinal32 REAL
@ATTRIBUTE Sinal33 REAL
@ATTRIBUTE Sinal34 REAL
@ATTRIBUTE Sinal35 REAL
@ATTRIBUTE Sinal36 REAL
@ATTRIBUTE Sinal37 REAL
@ATTRIBUTE Sinal38 REAL
@ATTRIBUTE Sinal39 REAL
@ATTRIBUTE Sinal40 REAL
@ATTRIBUTE Sinal41 REAL
@ATTRIBUTE Sinal42 REAL
@ATTRIBUTE Sinal43 REAL
@ATTRIBUTE Sinal44 REAL
@ATTRIBUTE Sinal45 REAL
@ATTRIBUTE Sinal46 REAL
@ATTRIBUTE Sinal47 REAL
@ATTRIBUTE Sinal48 REAL
@ATTRIBUTE Sinal49 REAL
@ATTRIBUTE Sinal50 REAL
@ATTRIBUTE Sinal51 REAL
@ATTRIBUTE Sinal52 REAL
@ATTRIBUTE Sinal53 REAL
@ATTRIBUTE Sinal54 REAL
@ATTRIBUTE Sinal55 REAL
@ATTRIBUTE Sinal56 REAL
@ATTRIBUTE Sinal57 REAL
@ATTRIBUTE Sinal58 REAL
@ATTRIBUTE Sinal59 REAL
@ATTRIBUTE Sinal60 REAL
@ATTRIBUTE Sinal61 REAL
@ATTRIBUTE Sinal62 REAL
@ATTRIBUTE Sinal63 REAL
@ATTRIBUTE Sinal64 REAL
@ATTRIBUTE Sinal65 REAL
@ATTRIBUTE Sinal66 REAL
@ATTRIBUTE Sinal67 REAL
@ATTRIBUTE Sinal68 REAL
@ATTRIBUTE Sinal69 REAL
@ATTRIBUTE Sinal70 REAL
@ATTRIBUTE Sinal71 REAL
@ATTRIBUTE Sinal72 REAL
@ATTRIBUTE Sinal73 REAL
@ATTRIBUTE Sinal74 REAL
@ATTRIBUTE Sinal75 REAL

@ATTRIBUTE class {A,E,I,O,U}
@DATA
505,505,508,509,507,507,508,508,510,516,513,512,518,513,509,507,506,500,500,508,512,517,515,515,514,512,510,512,513,508,507,506,511,513,515,515,512,515,515,512,505,508,512,508,516,510,505,507,510,510,510,508,505,508,509,510,513,509,508,515,513,513,513,510,508,506,508,513,515,515,514,514,513,510,505,U
504,505,506,505,510,515,516,513,515,508,512,508,508,504,508,514,520,521,510,512,510,508,510,511,508,510,504,508,506,503,507,509,510,512,511,515,514,506,511,515,513,512,510,510,511,510,510,508,508,512,512,507,504,505,513,515,513,512,508,509,508,510,512,508,512,515,515,512,505,502,507,507,504,505,510,U
508,509,512,517,515,515,512,512,510,500,504,499,499,510,507,510,513,508,517,510,508,508,502,512,510,513,515,506,514,513,508,509,513,516,510,510,509,504,518,513,510,514,509,512,510,511,516,504,505,510,514,510,515,516,515,511,500,511,508,515,513,512,510,508,508,507,513,508,510,505,513,511,510,505,507,U
513,515,516,514,513,512,512,508,506,508,506,507,512,514,510,513,510,512,515,510,508,512,505,509,510,508,508,512,506,508,512,508,508,508,509,513,514,512,510,506,504,506,510,510,513,512,512,511,505,508,505,510,512,513,505,512,516,514,514,515,512,508,505,504,507,508,510,514,515,513,511,510,510,517,512,U
510,514,511,508,508,510,512,512,514,515,512,513,512,512,507,510,512,510,512,513,515,514,510,506,505,506,504,507,510,512,515,512,512,512,512,511,509,508,512,515,509,512,512,510,515,515,510,512,508,510,513,512,510,511,512,515,511,508,514,510,515,512,509,508,506,510,513,507,510,512,509,512,513,504,505,U
508,508,512,512,510,510,516,515,515,513,510,510,506,504,512,512,512,512,510,507,513,510,509,507,510,510,510,510,512,511,515,515,513,513,514,510,508,505,506,506,504,510,510,511,511,512,515,514,510,510,512,512,511,510,513,510,508,508,506,510,512,512,514,513,513,510,510,504,505,504,507,510,510,511,506,U
510,508,502,507,512,504,516,512,511,515,516,512,515,511,510,507,512,512,512,515,511,511,506,504,505,512,510,512,510,510,508,510,511,513,514,515,512,511,515,511,507,508,508,510,518,519,516,513,510,510,510,507,509,512,516,515,514,518,512,510,510,508,511,512,508,508,514,516,514,512,509,510,513,515,512,U
504,506,510,508,506,508,510,508,506,511,512,508,511,512,510,508,506,511,510,511,513,513,509,510,510,511,513,510,509,510,507,508,510,510,513,511,509,508,506,510,512,512,508,509,508,511,510,513,518,512,510,510,506,505,508,508,506,512,512,507,518,512,504,505,507,505,512,512,505,512,513,508,510,516,512,U
510,508,510,509,513,516,516,510,505,508,508,511,510,507,509,513,510,512,519,512,504,505,512,512,510,516,516,511,510,509,514,513,515,509,506,505,512,513,512,512,514,508,511,511,512,517,507,505,510,508,510,510,512,516,512,511,513,511,510,510,505,507,508,510,507,508,510,511,512,513,516,509,513,510,504,U
512,512,511,510,510,510,512,511,512,510,511,511,510,510,512,508,515,512,512,512,506,509,510,506,508,512,512,508,511,510,510,514,513,510,515,510,513,512,508,507,505,502,511,511,516,522,515,512,512,513,506,504,502,504,509,513,508,508,509,509,514,514,514,514,512,508,505,505,510,510,510,512,512,508,509,U
