@RELATION EMG
@ATTRIBUTE Sinal1 REAL
@ATTRIBUTE Sinal2 REAL
@ATTRIBUTE Sinal3 REAL
@ATTRIBUTE Sinal4 REAL
@ATTRIBUTE Sinal5 REAL
@ATTRIBUTE Sinal6 REAL
@ATTRIBUTE Sinal7 REAL
@ATTRIBUTE Sinal8 REAL
@ATTRIBUTE Sinal9 REAL
@ATTRIBUTE Sinal10 REAL
@ATTRIBUTE Sinal11 REAL
@ATTRIBUTE Sinal12 REAL
@ATTRIBUTE Sinal13 REAL
@ATTRIBUTE Sinal14 REAL
@ATTRIBUTE Sinal15 REAL
@ATTRIBUTE Sinal16 REAL
@ATTRIBUTE Sinal17 REAL
@ATTRIBUTE Sinal18 REAL
@ATTRIBUTE Sinal19 REAL
@ATTRIBUTE Sinal20 REAL
@ATTRIBUTE Sinal21 REAL
@ATTRIBUTE Sinal22 REAL
@ATTRIBUTE Sinal23 REAL
@ATTRIBUTE Sinal24 REAL
@ATTRIBUTE Sinal25 REAL
@ATTRIBUTE Sinal26 REAL
@ATTRIBUTE Sinal27 REAL
@ATTRIBUTE Sinal28 REAL
@ATTRIBUTE Sinal29 REAL
@ATTRIBUTE Sinal30 REAL
@ATTRIBUTE Sinal31 REAL
@ATTRIBUTE Sinal32 REAL
@ATTRIBUTE Sinal33 REAL
@ATTRIBUTE Sinal34 REAL
@ATTRIBUTE Sinal35 REAL
@ATTRIBUTE Sinal36 REAL
@ATTRIBUTE Sinal37 REAL
@ATTRIBUTE Sinal38 REAL
@ATTRIBUTE Sinal39 REAL
@ATTRIBUTE Sinal40 REAL
@ATTRIBUTE Sinal41 REAL
@ATTRIBUTE Sinal42 REAL
@ATTRIBUTE Sinal43 REAL
@ATTRIBUTE Sinal44 REAL
@ATTRIBUTE Sinal45 REAL
@ATTRIBUTE Sinal46 REAL
@ATTRIBUTE Sinal47 REAL
@ATTRIBUTE Sinal48 REAL
@ATTRIBUTE Sinal49 REAL
@ATTRIBUTE Sinal50 REAL
@ATTRIBUTE Sinal51 REAL
@ATTRIBUTE Sinal52 REAL
@ATTRIBUTE Sinal53 REAL
@ATTRIBUTE Sinal54 REAL
@ATTRIBUTE Sinal55 REAL
@ATTRIBUTE Sinal56 REAL
@ATTRIBUTE Sinal57 REAL
@ATTRIBUTE Sinal58 REAL
@ATTRIBUTE Sinal59 REAL
@ATTRIBUTE Sinal60 REAL
@ATTRIBUTE Sinal61 REAL
@ATTRIBUTE Sinal62 REAL
@ATTRIBUTE Sinal63 REAL
@ATTRIBUTE Sinal64 REAL
@ATTRIBUTE Sinal65 REAL
@ATTRIBUTE Sinal66 REAL
@ATTRIBUTE Sinal67 REAL
@ATTRIBUTE Sinal68 REAL
@ATTRIBUTE Sinal69 REAL
@ATTRIBUTE Sinal70 REAL
@ATTRIBUTE Sinal71 REAL
@ATTRIBUTE Sinal72 REAL
@ATTRIBUTE Sinal73 REAL
@ATTRIBUTE Sinal74 REAL
@ATTRIBUTE Sinal75 REAL

@ATTRIBUTE class {A,E,I,O,U}
@DATA
510,510,505,504,512,515,516,512,507,505,507,509,510,515,512,510,510,504,510,512,509,510,504,506,508,513,516,514,512,513,511,515,515,510,509,509,509,510,509,509,508,504,507,508,510,511,521,520,514,516,512,504,504,504,502,506,512,524,520,513,511,508,511,507,505,506,506,508,508,515,524,519,513,507,504,A
509,515,521,518,506,504,503,505,510,513,521,508,506,508,507,510,508,504,504,506,512,515,515,516,513,514,514,512,514,506,504,506,506,511,509,513,524,520,519,514,512,504,498,505,505,504,511,515,520,515,513,504,507,508,508,509,515,518,516,510,500,503,512,516,514,509,518,520,510,504,508,508,510,508,505,A
507,506,509,511,508,515,519,521,518,521,516,504,498,508,512,514,510,505,505,513,508,510,514,514,512,511,508,502,508,512,508,504,508,512,509,512,515,521,518,515,514,515,510,510,512,512,508,508,505,502,504,508,515,522,520,513,510,511,516,513,514,493,494,504,508,514,514,510,508,510,513,517,518,513,517,A
509,511,509,508,512,516,515,512,508,508,514,510,506,510,512,510,510,512,512,510,511,512,507,508,507,508,512,510,511,514,512,518,520,521,518,517,514,509,505,503,496,502,504,514,521,518,512,508,513,515,510,517,513,519,516,512,510,502,499,505,508,513,514,514,510,506,508,508,508,511,513,512,510,513,517,A
514,510,510,505,508,512,510,512,514,512,511,513,509,510,511,512,512,512,510,510,506,504,510,510,513,516,522,516,512,514,508,495,494,508,516,519,522,515,510,508,512,509,513,512,507,502,503,510,509,505,517,521,515,508,504,510,515,510,513,515,515,518,513,507,501,506,509,512,510,510,513,522,516,515,508,A
507,507,514,511,504,508,515,515,519,517,522,515,513,513,508,502,499,508,512,508,508,512,509,513,512,518,515,514,513,508,504,516,515,508,510,508,516,512,512,508,511,510,508,506,510,510,510,513,511,508,508,514,519,514,515,511,506,504,514,512,508,508,516,521,510,508,509,509,516,510,508,509,514,510,510,A
508,506,508,508,505,515,520,519,518,508,509,505,497,502,510,513,502,506,512,515,518,518,521,520,519,510,506,510,506,512,510,512,517,515,520,517,514,510,505,506,501,504,508,510,507,504,508,511,518,518,519,515,504,509,508,513,510,508,510,513,515,510,508,507,509,507,508,510,514,511,511,508,511,514,512,A
510,512,509,510,510,510,516,518,515,514,507,510,513,514,514,511,514,504,504,503,499,508,513,509,512,514,513,513,508,508,508,512,513,514,516,515,508,510,513,513,508,511,512,515,510,505,508,508,506,507,512,517,520,516,515,513,512,508,505,507,508,515,516,514,512,514,518,514,512,512,510,512,509,510,512,A
511,515,517,514,513,512,507,508,506,510,506,506,508,512,508,504,509,512,510,515,512,502,505,505,510,508,509,513,508,507,507,514,521,508,506,510,508,505,509,515,519,515,512,515,513,512,505,506,510,513,515,508,506,504,504,504,500,514,515,515,512,512,518,521,521,512,510,510,508,505,511,508,511,512,518,A
521,510,510,507,504,508,510,508,506,512,510,509,510,508,508,512,515,515,518,514,515,515,508,508,502,507,512,508,512,508,514,518,515,508,508,512,510,514,512,512,512,504,510,512,505,505,504,512,515,516,515,521,518,512,510,508,510,507,503,504,505,512,511,510,513,515,515,511,511,519,512,504,515,512,501,A
