@RELATION EMG
@ATTRIBUTE Sinal1 REAL
@ATTRIBUTE Sinal2 REAL
@ATTRIBUTE Sinal3 REAL
@ATTRIBUTE Sinal4 REAL
@ATTRIBUTE Sinal5 REAL
@ATTRIBUTE Sinal6 REAL
@ATTRIBUTE Sinal7 REAL
@ATTRIBUTE Sinal8 REAL
@ATTRIBUTE Sinal9 REAL
@ATTRIBUTE Sinal10 REAL
@ATTRIBUTE Sinal11 REAL
@ATTRIBUTE Sinal12 REAL
@ATTRIBUTE Sinal13 REAL
@ATTRIBUTE Sinal14 REAL
@ATTRIBUTE Sinal15 REAL
@ATTRIBUTE Sinal16 REAL
@ATTRIBUTE Sinal17 REAL
@ATTRIBUTE Sinal18 REAL
@ATTRIBUTE Sinal19 REAL
@ATTRIBUTE Sinal20 REAL
@ATTRIBUTE Sinal21 REAL
@ATTRIBUTE Sinal22 REAL
@ATTRIBUTE Sinal23 REAL
@ATTRIBUTE Sinal24 REAL
@ATTRIBUTE Sinal25 REAL
@ATTRIBUTE Sinal26 REAL
@ATTRIBUTE Sinal27 REAL
@ATTRIBUTE Sinal28 REAL
@ATTRIBUTE Sinal29 REAL
@ATTRIBUTE Sinal30 REAL
@ATTRIBUTE Sinal31 REAL
@ATTRIBUTE Sinal32 REAL
@ATTRIBUTE Sinal33 REAL
@ATTRIBUTE Sinal34 REAL
@ATTRIBUTE Sinal35 REAL
@ATTRIBUTE Sinal36 REAL
@ATTRIBUTE Sinal37 REAL
@ATTRIBUTE Sinal38 REAL
@ATTRIBUTE Sinal39 REAL
@ATTRIBUTE Sinal40 REAL
@ATTRIBUTE Sinal41 REAL
@ATTRIBUTE Sinal42 REAL
@ATTRIBUTE Sinal43 REAL
@ATTRIBUTE Sinal44 REAL
@ATTRIBUTE Sinal45 REAL
@ATTRIBUTE Sinal46 REAL
@ATTRIBUTE Sinal47 REAL
@ATTRIBUTE Sinal48 REAL
@ATTRIBUTE Sinal49 REAL
@ATTRIBUTE Sinal50 REAL
@ATTRIBUTE Sinal51 REAL
@ATTRIBUTE Sinal52 REAL
@ATTRIBUTE Sinal53 REAL
@ATTRIBUTE Sinal54 REAL
@ATTRIBUTE Sinal55 REAL
@ATTRIBUTE Sinal56 REAL
@ATTRIBUTE Sinal57 REAL
@ATTRIBUTE Sinal58 REAL
@ATTRIBUTE Sinal59 REAL
@ATTRIBUTE Sinal60 REAL
@ATTRIBUTE Sinal61 REAL
@ATTRIBUTE Sinal62 REAL
@ATTRIBUTE Sinal63 REAL
@ATTRIBUTE Sinal64 REAL
@ATTRIBUTE Sinal65 REAL
@ATTRIBUTE Sinal66 REAL
@ATTRIBUTE Sinal67 REAL
@ATTRIBUTE Sinal68 REAL
@ATTRIBUTE Sinal69 REAL
@ATTRIBUTE Sinal70 REAL
@ATTRIBUTE Sinal71 REAL
@ATTRIBUTE Sinal72 REAL
@ATTRIBUTE Sinal73 REAL
@ATTRIBUTE Sinal74 REAL
@ATTRIBUTE Sinal75 REAL

@ATTRIBUTE class {A,E,I,O,U}
@DATA
510,510,510,512,512,509,510,510,512,512,512,512,510,513,511,510,510,512,512,511,512,508,510,510,508,510,512,514,515,512,516,512,512,510,506,512,515,510,510,505,505,508,508,507,508,512,516,519,521,513,509,505,507,510,514,512,507,506,512,513,516,513,512,511,509,512,510,512,510,512,514,508,506,506,510,A
510,512,515,512,508,507,508,514,521,526,512,508,504,506,508,512,515,512,502,502,510,516,510,510,507,504,510,510,512,519,523,518,508,501,506,512,515,506,512,510,508,501,506,513,516,508,513,518,516,516,510,502,502,516,515,513,508,509,505,512,515,513,506,497,500,516,519,511,511,510,512,508,506,511,518,A
533,519,510,496,489,496,515,513,515,524,526,519,504,497,496,500,510,512,513,512,505,507,523,519,508,507,504,505,514,514,516,510,518,521,517,512,508,505,502,524,524,522,518,506,504,498,496,507,510,508,507,507,513,524,522,516,515,499,494,504,518,519,518,511,500,496,496,499,499,513,520,521,524,524,518,A
510,512,515,510,509,508,515,516,512,514,516,512,512,512,510,517,502,496,504,508,507,505,512,515,517,518,513,512,507,510,509,510,512,511,508,506,512,514,512,508,508,508,513,513,512,516,511,514,512,514,516,513,505,505,508,506,504,508,514,512,511,523,521,519,506,504,507,508,509,510,512,517,512,513,510,A
508,508,519,524,521,529,523,514,507,512,508,510,504,504,508,512,514,512,516,521,515,505,503,504,507,507,502,502,504,510,512,508,508,513,510,505,508,510,514,512,512,506,509,504,507,513,514,512,514,514,506,509,516,518,510,510,515,513,510,505,505,511,518,516,519,519,522,512,498,499,497,496,506,517,515,A
505,499,502,510,518,514,520,512,512,514,513,512,512,515,516,513,516,513,508,502,504,505,513,516,514,515,511,513,515,512,509,504,499,504,499,502,507,515,522,519,514,512,522,522,515,509,506,512,515,510,506,504,505,504,508,510,514,515,513,512,510,506,505,520,512,504,512,515,513,508,511,512,515,513,512,A
511,505,504,504,516,520,516,512,512,513,510,506,510,515,510,499,507,514,512,505,506,504,512,512,515,516,511,515,519,513,510,511,512,514,513,512,510,511,506,503,505,505,504,508,513,513,512,512,514,510,509,504,512,518,512,515,513,514,515,508,507,512,514,512,513,516,513,514,508,505,504,502,508,508,512,A
512,514,514,515,516,511,510,508,507,512,510,511,510,507,512,519,522,519,519,508,500,508,508,508,507,512,510,508,508,509,512,509,508,509,507,505,508,510,514,523,522,519,520,516,511,505,498,504,511,509,516,520,520,515,508,512,506,506,512,510,513,511,510,510,509,509,510,511,508,511,508,508,508,524,534,A
517,506,505,494,499,506,512,518,515,514,510,512,509,507,512,512,513,508,508,510,510,512,512,513,512,510,512,516,515,508,500,504,505,508,510,512,512,512,513,513,515,513,508,509,510,510,510,509,510,508,510,512,513,508,506,510,513,518,513,510,515,513,516,512,514,512,508,508,506,508,504,507,505,508,508,A
512,516,515,515,516,510,510,509,511,510,508,508,509,510,507,508,508,512,512,508,512,508,516,520,518,512,513,510,505,512,508,505,512,510,507,506,509,509,510,512,518,511,510,510,514,512,509,504,502,510,512,515,516,513,515,513,506,504,507,515,514,510,515,517,512,505,500,499,506,507,512,512,515,516,513,A
519,518,512,514,512,512,510,507,508,511,508,508,508,508,508,512,512,515,514,506,509,508,508,515,516,516,510,509,511,508,508,510,510,510,515,512,512,508,508,510,512,518,526,524,515,504,502,499,504,507,505,504,506,506,513,518,518,516,512,513,511,508,514,515,512,502,502,504,505,513,514,513,515,515,516,A
513,516,514,513,513,511,510,506,502,505,504,503,505,504,508,514,521,524,518,519,512,508,504,502,502,505,508,512,512,510,508,515,513,511,510,508,512,512,517,518,515,513,509,507,507,510,509,510,510,505,512,514,512,512,513,512,512,508,506,506,505,512,514,514,508,510,510,512,510,509,512,513,515,514,512,A
